Etown,capacity: 250 + 80,,regen hub,capacity: 30,"








",terrible turtle,capacity: 65,,,Riverside ,capacity: tbd
Friday hours: 10:00 - 18:00 ,,,Friday hours: 11:15 - 16:30,,,Friday hours: 10:00 - 16:30,,,,Friday hours: tbd,
10:00 - 10:30,check in guests,,,Confirmed speaker ,,,Main room,lounge room (in the back),,,
10:30 - 11:00,Owocki/app intro/jon bo/bonfires,,,,,10:30 - 11:10,Creative Track - kick off ,Creative Track - set up,,,
11:00 - 11:05,transition ,,11:15 - 11:45,SHAY - techstars bldr,,11:15 - 11:45,Collaborative Mural - kick off (starts 11:35 after Rene's talk),Creative Track-Entretejidos,,,
11:05 - 11:30,Rene Pinnell - Why Ideas Need to Fuck + Atizen Creativity Track Intro ,,11:45 - 11:50,transition ,,11:45 - 11:50,transition ,,,,
11:30 - 11:35 ,transition ,,11:50 - 12:20,AI track ,,11:50 - 12:20,Creative Track-OnchainCreator Challenge,Creative Track-Entretejidos,,,
11:35 - 12:00,CODY GUNTON EF +,,12:00 - 12:05 ,transition ,,12:25 - 12:30,transition ,,,,
12:00 - 12:05 ,transition ,,12:05 - 12:55,AI track ,,12:30 - 13:00,Creative Track 📸 Faces of EthBoulder ,How AI copies art (talk + discussion) by Devinder Sodhi,,,
12:05 - 12:30,Gitcoin 3.0: MathildaDV + Owocki,,12:55 - 13:00,transition ,,13:00 - 13:35,break,,,,
12:30 - 13:20,Lunch break (divasonic set-up),,13:00 - 13:25,Devinder Sodhi - AI success in the real world ,,13:35 - 13:55,unconference,Creative Track,,,
13:30 - 13:55 ,Alex Stokes EF +,,13:25 - 13:30,transition ,,13:55 - 14:00,transition ,,,,
13:55 -14:00,transition ,,13:30 - 13:55,Paul and Nico - Parnassus House,,14:00 - 14:40,Gitcoin - GG25 design session,Creative Track,,,
14:00 - 14:25,Csaba Kiraly EF +,,13:55 - 14:00,transition ,,14:40 - 14:45,transition ,,,,
14:25 - 14:30,transition ,,14:00 - 14:40,Austin Griffith - workshop,,14:45 - 15:15,unconference,Creative Track,,,
14:30 - 14:55,NIXO EF +,,14:40 - 14:45,transition ,,15:15 - 15:20,transition ,,,,
14:55 - 15:00,transition ,,14:45 - 15:15,Jon Bo ,,15:20 - 15:50,Under The Gun,Creativity as a Cornerstone of Company building (talk + discussion) by Devinder Sodhi & Lexi Benak,,,
15:00 - 15:25,Danny Ryan + Owocki Fireside Chat,,15:15 - 15:20,transition ,,15:50 - 15:55,transition ,,,,
15:25 - 15:30 ,transition ,,15:20 - 15:50,"German - virtual blockchains, the future of eth workshop",,15:55 - 16:25,unconference,Creative Track,,,
15:30 - 15:55,Nathan Schneider - CU +,,15:50 - 15:55,transition ,,,,,,,
15:55- 16:00,transition ,,15:55 - 16:25,unconference,,,,,,,
16:00 - 16:25,ETH Localism Fireside Chat - Sara & Benjamin,,,,,,,,,,
16:25 - 16:30,transition ,,,,,,,,,,
16:30 - 17:00 ,Creativity Track  - Divasonic -  Ethereal Sound Voyage Sound Meditation,,,,,,,,,,
,,,,,,,,,,,
Saturday hours: 9:30 - 15:00 ,,,Saturday hours: 11:00 - 16:30,,,Saturday hours: 11:00 - 16:30,,,,Saturday hours: 10am-10pm ,
,,,,,,,Main room,lounge room (in the back),,Unconference,10:30a
9:30 - 10:00,check in guests ,,,,,,,,,Unconference,11a
9:55 - 10:00,owocki welcome,,11:15 - 12:15,"Owocki workshop 

ETHBOULDER",,11:15 - 11:45,(silence start for tea),Drink TEE: Zen Tea Ceremony for a Trusted Elocation Enviroment -- Creativity Track - Hosted by Yi Shan (11:30am-12:45pm),,Unconference,11:30a
10:00 - 10:25,Shaw - Eliza Labs AI + ,,,,,11:45 - 11:50,transition ,,,Unconference,12p
10:25 - 10:30,transition ,,,,,11:50 - 12:20,(silence start for tea),,,Unconference,12:30p
10:30 - 10:55,Willy Wonka - blank space +,,12:00 - 12:05 ,transition ,,12:00 - 12:05 ,transition ,,,Unconference,1p
10:55- 11:00,transition ,,12:05 - 13:05,dao/coordinative tooling ,,12:05 - 12:35,COLTON Postquant Labs,,,,
11:00 - 11:30,DeSci Panel - Rodrigo +,,13:05 - 13:10,transition ,,12:35 - 13:35,break,,,,
11:30 - 11:35 ,transition ,,13:10 - 14:05 ,dao/coordinative tooling ,,13:35 - 14:05 ,DeSci workshop - Rodrigo ,Creative Track - Entretejidos,,,
11:35 - 12:00,Devansh Mehta - EF + ,,14:05 - 14:10,transition ,,14:05 - 14:10,transition ,Drink TEE: Zen Tea Ceremony for a Trusted Elocation Enviroment -- Creativity Track - Hosted by Yi Shan (2:30-3:45pm),,,
12:00 - 12:05 ,transition ,,14:10 - 14:40,NICO Gallardo - Octant: Funding Impact Sustainably with DeFi,,14:10 - 14:40,on-chain organizations ,,,,
12:05 - 12:30,William Le - Haraka +,,14:40 - 14:45,transition ,,14:40 - 14:45,transition ,,,1pm-5pm,ETH Localism 
12:30 - 13:20,Lunch break,,14:45 - 15:50,January Jones & Brad Keoun- Blockchain Building for Journalism - Developer & Journo Roundtable,,14:45 - 15:15,on-chain organizations ,,,,
13:30 - 13:55 ,Tomasz - EF + ,,,,,15:15 - 15:20,transition ,,,5pm-6pm,HOLD Robot dancing
13:55 -14:00,transition ,,,,,15:20 - 15:50,tea (silence start),,,,
14:00 - 14:25,Zsolt Felfoldi - EF +,,15:50 - 15:55,transition ,,15:50 - 15:55,transition ,,,,
14:25 - 14:30,transition ,,15:55 - 16:25,unconference,,15:55 - 16:25,unconference,Transition + interactive light rave,,,
14:30 - 14:50,James Collab.land,,,,,16:25-20:00,,interactive light rave,,,
14:50 - 15:00,HARD STOP - Load out,,,,,,,interactive light rave,,,
15:00 - 18:00 ,Tie-Dye Happy Hour - Barker park ,,,,,,,interactive light rave,,,
,,,,,,,,interactive light rave,,,
,,,,,,,,,,,
Sunday hours: 10:00 - 18:00,,,Sunday hours: 11:00 - 16:30,,,Sunday hours: 11:00 - 16:30,,,,Sunday hours: tbd,
10:25 - 10:30,Owocki welcome,,,,,,Main room,lounge room (in the back),,,
10:35 - 11:00,emily EF +,,,,,11- 11:15,,"Artizen Awards $50,000 at Showcase #60 (Livestream) - Creativity Track",,,
11:00 - 11:05,transition ,,11:15 - 11:45,unconference,,11:15 - 11:45,unconference,"Artizen Awards $50,000 at Showcase #60 (Livestream) - Creativity Track",,,
11:05 - 11:30,Carter - Fhenix +,,11:45 - 11:50,transition ,,11:45 - 12:05,transition ,"Artizen Awards $50,000 at Showcase #60 (Livestream) - Creativity Track",,,
11:30 - 11:35 ,transition ,,11:50 - 12:20,unconference or connor zcash ,,,,"Artizen Awards $50,000 at Showcase #60 (Livestream) - Creativity Track",,,
11:35 - 12:15,Eric Alston - research CU +,,12:00 - 12:05 ,transition ,,,,"Artizen Awards $50,000 at Showcase #60 (Livestream) - Creativity Track",,,
12:15 - 12:20 ,transition ,,12:05 - 13:05,Mylo - zcash workshop ,,12:05 - 12:35,BLOCKCHANGE workshop ,"Artizen Awards $50,000 at Showcase #60 (Livestream) - Creativity Track",,,
12:20 - 12:55,HOLD ANDY Guzman -EF +,,13:05 - 13:10,transition ,,12:35 - 13:00,break,,,,
,,,13:10 - 14:05,Alexandre - fhenix - ecosystem engineer workshop,,13:00 - 15:15 ,PGF - Sejal and team ,,,,
,,,14:05 - 14:10,transition ,,,,,,,
12:55 -13:55,Lunch break,,14:10 - 15:05,OPEN SLOT ,,,,,,,
14:00 - 14:50,NAOMI BROCKWELL +,,15:05 - 15:10 ,transition ,,,,,,,
,,,15:10 - 15:50 ,Naomi Brockwell workshop ,,,,,,,
