Etown,capacity: 250 + 80,,regen hub,capacity: 30,"








",terrible turtle,capacity: 65,,,Riverside ,capacity: tbd
Friday hours: 10:00 - 18:00,,,Friday hours: 11:15 - 16:30,,,Friday hours: 10:00 - 16:30,,,,Friday hours: tbd,
10:00 - 10:30,check in guests,,,Confirmed speaker ,,,,lounge room,,,
10:30 - 11:00,Owocki/app intro/jon bo/bonfires,,,,,10:30 - 11:10,Creative Track - kick off ,Creative Track - set up,,,
11:00 - 11:05,transition ,,11:15 - 11:45,SHAY - techstars bldr,,11:15 - 11:45,Creative Track,Creative Track,,,
11:05 - 11:30,Rene Pinnell - artizen +,,11:45 - 11:50,transition ,,11:45 - 11:50,transition ,,,,
11:30 - 11:35 ,transition ,,11:50 - 12:20,AI track ,,11:50 - 12:20,Creative Track,Creative Track,,,
11:35 - 12:00,CODY GUNTON EF +,,12:00 - 12:05 ,transition ,,12:00 - 12:05 ,transition ,,,,
12:00 - 12:05 ,transition ,,12:05 - 12:55,AI track ,,12:05 - 12:35,Creative Track,Creative Track,,,
12:05 - 12:30,MATHILDA-GITCOIN +,,12:55 - 13:00,transition ,,12:35 - 13:35,break,,,,
12:30 - 13:20,Lunch break,,13:00 - 13:55,Hold hackathon ,,13:35 - 13:55,unconference,Creative Track,,,
13:30 - 13:55 ,Alex Stokes EF +,,13:55 - 14:00,transition ,,13:55 - 14:00,transition ,,,,
13:55 -14:00,transition ,,14:00 - 14:40,Austin Griffith - workshop,,14:00 - 14:40,Gitcoin - GG25 design session,Creative Track,,,
14:00 - 14:25,Csaba Kiraly EF +,,14:40 - 14:45,transition ,,14:40 - 14:45,transition ,,,,
14:25 - 14:30,transition ,,14:45 - 15:15,Jon Bo ,,14:45 - 15:15,unconference,Creative Track,,,
14:30 - 14:55,NIXO EF +,,15:15 - 15:20,transition ,,15:15 - 15:20,transition ,,,,
14:55 - 15:00,transition ,,15:20 - 15:50,"German - virtual blockchains, the future of eth workshop",,15:20 - 15:50,Creative Track,Creative Track,,,
15:00 - 15:25,HOLD Danny Ryan ,,15:50 - 15:55,transition ,,15:50 - 15:55,transition ,,,,
15:25 - 15:30 ,transition ,,15:55 - 16:25,unconference,,15:55 - 16:25,unconference,Creative Track,,,
15:30 - 15:55,Nathan Schneider - CU +,,,,,,,,,,
15:55- 16:00,transition ,,,,,,,,,,
16:00 - 16:25,ETH Localism,,,,,,,,,,
16:25 - 16:30,transition ,,,,,,,,,,
16:30 - 17:00 ,Creative T - Ethereal sound voyage,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Saturday hours: 9:30 - 15:00 ,,,Saturday hours: 11:00 - 16:30,,,Saturday hours: 11:00 - 16:30,,,,Saturday hours: tbd,
,,,,,,,,lounge room,,,
9:30 - 10:00,check in guests ,,,,,,,,,,
9:55 - 10:00,owocki welcome,,11:15 - 12:15,"Owocki workshop 

ETHBOULDER",,11:15 - 11:45,unconference,Creative Track,,,
10:00 - 10:25,Shaw - Eliza Labs AI + ,,,,,11:45 - 11:50,transition ,,,,
10:25 - 10:30,transition ,,,,,11:50 - 12:20,Creative Track,Creative Track,,,
10:30 - 10:55,Willy Wonka - blank space +,,12:00 - 12:05 ,transition ,,12:00 - 12:05 ,transition ,,,,
10:55- 11:00,transition ,,12:05 - 13:05,dao/coordinative tooling ,,12:05 - 12:35,COLTON Postquant Labs,Creative Track,,,
11:00 - 11:30,DeSci Panel - Rodrigo +,,13:05 - 13:10,transition ,,12:35 - 13:35,break,,,,
11:30 - 11:35 ,transition ,,13:10 - 14:05 ,dao/coordinative tooling ,,13:35 - 14:05 ,DeSci workshop - Rodrigo ,Creative Track,,,
11:35 - 12:00,Devansh Mehta - EF + ,,14:05 - 14:10,transition ,,14:05 - 14:10,transition ,,,,
12:00 - 12:05 ,transition ,,14:10 - 14:40,ETH Localism ,,14:10 - 14:40,on-chain organizations ,,,,
12:05 - 12:30,William Le - Haraka +,,14:40 - 14:45,transition ,,14:40 - 14:45,transition ,,,,
12:30 - 13:20,Lunch break,,14:45 - 15:15,ETH Localism ,,14:45 - 15:15,on-chain organizations ,,,,
13:30 - 13:55 ,Tomasz - EF + ,,15:15 - 15:20,transition ,,15:15 - 15:20,transition ,,,,
13:55 -14:00,transition ,,15:20 - 15:50,Eugene workshop - new fund experiment ,,15:20 - 15:50,Creative Track,Creative Track,,,
14:00 - 14:25,Zsolt Felfoldi - EF +,,15:50 - 15:55,transition ,,15:50 - 15:55,transition ,,,,
14:25 - 14:30,transition ,,15:55 - 16:25,unconference,,15:55 - 16:25,unconference,,,,
14:30 - 14:50,Eugene new fund experiment +,,,,,,,,,,
14:50 - 15:00,HARD STOP - Load out,,,,,,,,,,
15:00 - 18:00 ,Tie-Dye Happy Hour - Barker park ,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sunday hours: 10:00 - 18:00,,,Sunday hours: 11:00 - 16:30,,,Sunday hours: 11:00 - 16:30,,,,Sunday hours: tbd,
10:25 - 10:30,Owocki welcome,,,,,,,lounge room,,,
10:35 - 11:00,emily EF +,,,,,,,,,,
11:00 - 11:05,transition ,,11:15 - 11:45,unconference,,11:15 - 11:45,unconference,,,,
11:05 - 11:30,Carter - Fhenix +,,11:45 - 11:50,transition ,,11:45 - 11:50,transition ,,,,
11:30 - 11:35 ,transition ,,11:50 - 12:20,unconference or connor zcash ,,11:50 - 12:20,Creative Track,Creative Track,,,
11:35 - 12:15,Eric Alston - research CU +,,12:00 - 12:05 ,transition ,,12:00 - 12:05 ,transition ,,,,
12:15 - 12:20 ,transition ,,12:05 - 13:05,Mylo - zcash workshop ,,12:05 - 12:35,BLOCKCHANGE workshop ,,,,
12:20 - 12:55,HOLD ANDY Guzman -EF +,,13:05 - 13:10,transition ,,12:35 - 13:00,break,,,,
,,,13:10 - 14:05,Alexandre - fhenix - ecosystem engineer workshop,,13:00 - 14:05 ,pgf,,,,
,,,14:05 - 14:10,transition ,,14:05 - 14:10,transition ,,,,
12:55 -13:55,Lunch break,,14:10 - 15:05,Andy Guzman workshop,,14:10 - 14:40,pgf,,,,
14:00 - 14:50,NAOMI BROCKWELL +,,15:05 - 15:10 ,transition ,,14:40 - 14:45,transition ,,,,
,,,15:10 - 15:50 ,Naomi Brockwell workshop ,,14:45 - 15:15,pgf,,,,
,,,15:50 - 15:55,transition ,,15:15 - 15:20,transition ,,,,
14:50 - 14:55 ,transition ,,15:55 - 16:25,Eric DeCourcy - Open Zeppelin workshop,,15:20 - 15:50,Creative Track,Creative Track,,,
14:55 - 15:25,owocki & griff green fireside chat,,,,,15:50 - 15:55,transition ,,,,
15:25 - 15:30 ,transition ,,,,,15:55 - 16:25,unconference,,,,
15:30 - 16:00,Francesco Andreoli +,,,,,,,,,,
16:00 - 16:05,transition ,,,,,,,,,,
16:05 - 16:30,HOLD - PGF - Sejal / Devansh,,,,,,,,,,
16:30 - 16:35,transition ,,,,,,,,,,
16:35 - 17:35 ,Closing ceremony,,,,,,,,,,
17:00 - 18:30,HH,,,,,,,,,,
