Day ,Time,MC,Speaker,Company,Bio ,Talk Topic,Slides,Kim reached out
Friday,10:30-11:00,Adam,Owocki - welcome / event app intro,Allo Capital/Gitcoin,,,No ,
Friday,11:05-11:30,Adam,Rene Pinnell,Artizen Fund,"René is the co-founder of Artizen, a platform built to fund breakthroughs in art, science, and technology by bringing wildly different kinds of creators into the same ecosystem. For the last twenty years, he’s worked across film, startups, and experimental tech—basically anywhere ideas collide and either die quickly or turn into something dangerous and interesting. Today, René is opening the Creativity Track with a talk about a simple but uncomfortable truth: ideas need sex. New ideas don’t come from staying in your lane or talking only to people who think like you. They come from collision, cross-pollination, and mixing with ideas from totally different intellectual, creative, and spiritual lineages. Most of the baby ideas that result will be weird, broken, or useless. A few will grow up to change the world.",Why ideas need to fuck ,NO ,tg message 2/5
Friday,11:35-12:00,Adam,Cody Gunton,Ethereum Foundation,Research Engineer on the zkEVM Team at EF,Progress on ZKEVM Verifier Specs,YES,email 2/5
Friday,12:05-12:30,Adam,Mathilda,Gitcoin,,,,tg message 2/5
Friday,12:30-1:20,LUNCH BREAK,,,,,,
Friday,1:30-1:55,Adam,Alex Stokes,Ethereum Foundation,"Alex Stokes co-leads the Protocol cluster at the EF, responsible for R&D that helps Ethereum scale securely. He has been contributing to Ethereum for many years, with a focus on the consensus layer, research into MEV, and has been lately thinking about what Ethereum means in the age of AI agents.",Ethereum: the next chapter.,,email 2/5
Friday,2:00-2:25,Adam,Csaba Kiraly,Ethereum Foundation,,,,
Friday,2:30-2:55,Adam,Nixo,Ethereum Foundation,"Nixo leads the Protocol Support team at the Ethereum Foundation. Protocol Support creates clarity around Ethereum’s governance process - the process by which features are added to Ethereum. She previously led EthStaker, the organization that helps with guides, resources, and technical support for solo stakers.",ETH Core Protocol Governance ,,tg message to confirm 2/5
Friday,3:00-3:25,Adam,Danny Ryan,Etheralize,,,,
Friday,3:30-3:55,Adam,Nathan Schneider,University of Colorado,"Professor of media studies at the University of Colorado Boulder where he directs the Media Economies Design Lab and teach and learn from our students. He also an author of books on online democracy, cooperative enterprise, the Occupy movement and God. ",Who wants a protocol society ,,took from website
Friday,4:00-4:25,Adam,ETH Localism ,,,,,
Friday,4:30-5:00,Adam,Lynda Arnold ,Ethereal Sound Voyage,"Ethereal Sound Voyage is an immersive sound meditation experience designed to bring nervous-system regulation, deep focus, and expanded awareness into the tech and Web3 space. ",,,
Saturday,9:55-10:00,Anjali,Owocki - welcome ,Allo Capital/Gitcoin,,,,
Saturday,10:00-10:25,Anjali,Shaw,Founder of Eliza Labs / Creator of ElizaOS,"Shaw Walters is the founder of Eliza Labs, the creators of the ElizaOS agentic open-source framework. With a robust background in artificial intelligence and machine learning, Shaw has championed an open-source and transparent approach that has positioned Eliza Labs at the forefront of innovation. The ElizaOS framework has quickly gained recognition as a key resource for developers. Prior to founding Eliza Labs, Shaw dedicated several years to advancing AI agent technologies and exploring diverse frameworks.",,,tg message 2/5
Saturday,10:30-10:55,Anjali,Willy Ogorzaly (willywonka.eth),Blank Space ,"Serial founder with 2 exits, building in web3 since 2017. Helped launch ShapeShift and Giveth DAO. Avid supporter of open source public goods.","From: Nouns, To: Every Community",,tg message 2/5
Saturday,11:00-11:30,Anjali,Rodrigo - DeSci Panel,,,,,tg message 2/5
Saturday,11:35-12:00,Anjali,Devansh Mehta,Ethereum Foundation,,,,email 2/5
Saturday,12:05-12:30,Anjali,William Le,Haraka ,"Will is a Founder and CEO of Haraka, whose mission is to build next generation financial products for global workers in the informal economy. Haraka’s flagship app, Bondy is stablecoin-powered fintech app that helps users manage USD, FX, and savings with less friction. 

Will started his career at a hedge fund before making a hard pivot into international development, and has since spent his career focused on tech-enabled financial inclusion.","Universal Basic Income, Crypto, and the Age of AI",,tg mike green 2/5
Saturday,12:30-13:20,LUNCH BREAK,,,,,,
Saturday,1:30-1:55,Anjali,Tomasz,Ethereum Foundation,"Co-Executive Director of the Ethereum Foundation. He previously founded Nethermind, an Ethereum core development and infrastructure company, and his personal interests lie at the intersection of blockchain, AI, and robotics.",,YES ,tg 2/5
Saturday,2:00-2:25,Anjali,Zsolt Felfoldi,Ethereum Foundation,,,,
Saturday,2:30-2:50,Anjali,Eugene,Octant Labs,"Eugene is the COO and the Head of Governance at Octant Labs. He is also a Research Director at Metagov, where he leads the gov/acc research program and the Grant Innovation Lab.",A new Era For Public Goods Funding and Governance ,,
Saturday,2:50,Anjali,HARD STOP - GUESTS EXIT MAIN HALL,,Tye Die Happy Hour happening in Barker Park - bring EthBoulder shirts or other items to tye die ,,,
Saturday,3:00,,Everyone out of venue,,,,,
Sunday ,10:25-10:30,Anjali,Owocki - welcome ,Allo Capital/Gitcoin,,,,
